ticker,sector
SMCI,Technology
TSLA,Consumer Discretionary
AMD,Technology
BLDR,Industrials
FSLR,Energy
APA,Energy
FCX,Materials
AXON,Healthcare
NFLX,Communication Services
UAL,Industrials
PCG,Utilities
MU,Technology
CCL,Consumer Discretionary
RCL,Consumer Discretionary
DXCM,Healthcare
ALGN,Healthcare
NVDA,Technology
ON,Technology
WYNN,Consumer Discretionary
DVN,Energy
MGM,Consumer Discretionary
URI,Industrials
DECK,Consumer Discretionary
WDC,Technology
EQT,Energy
GNRC,Industrials
PARA,Communication Services
VRTX,Healthcare
HAL,Energy
NXPI,Technology
MPWR,Technology
OXY,Energy
EXPE,Consumer Discretionary
ALB,Materials
STX,Technology
TPL,Energy
LULU,Consumer Discretionary
FTNT,Technology
SWKS,Technology
WBD,Communication Services

